2,1544233224.128,4.3683967e-06,2.6205774e-07,8.3158793e-06,-3.1802040e-06,-2.6748796e-07,-4.5093088e-06,-3.0132237e-06,NaN,-9.0047888e-07,1.5679623e-05,7.8103658e-06,9.5058203e-06,9.9247709e-06,1.7126342e-05,4.1766339e-06,6.2298886e-06,1.2405074e-05,7.9459878e-06
2,1544233224.256,5.0816316e-06,-1.3321221e-06,1.0924002e-05,-5.3711738e-06,-2.7543701e-06,-1.0864064e-05,-9.6158628e-06,NaN,8.8343029e-07,1.9607813e-05,1.3352286e-05,1.1752820e-05,1.7325403e-05,3.3791686e-05,7.1454506e-06,1.2506338e-05,1.7924098e-05,1.4949643e-05
2,1544233224.384,5.8985443e-06,-2.7883173e-06,1.3645386e-05,-7.3811448e-06,-5.2211844e-06,-1.7002580e-05,-1.5986740e-05,NaN,2.7463159e-06,2.3533707e-05,1.8892324e-05,1.3951420e-05,2.4726030e-05,5.0244020e-05,1.0101443e-05,1.8771510e-05,2.3358747e-05,2.1887459e-05
2,1544233224.512,6.8673248e-06,-4.0409150e-06,1.6530299e-05,-9.1203092e-06,-7.6539272e-06,-2.2828535e-05,-2.2018845e-05,NaN,4.7273702e-06,2.7458722e-05,2.4428839e-05,1.6081265e-05,3.2124626e-05,6.6377332e-05,1.3034870e-05,2.5012376e-05,2.8669678e-05,2.8726234e-05
2,1544233224.64,8.0292211e-06,-5.0276590e-06,1.9627703e-05,-1.0513510e-05,-1.0042768e-05,-2.8248225e-05,-2.7610820e-05,NaN,6.8569116e-06,3.1381904e-05,2.9950341e-05,1.8116492e-05,3.9513689e-05,8.2078579e-05,1.5940026e-05,3.1222244e-05,3.3820423e-05,3.5432447e-05
2,1544233224.768,9.4238094e-06,-5.6928352e-06,2.2977982e-05,-1.1488856e-05,-1.2379786e-05,-3.3180935e-05,-3.2668871e-05,NaN,9.1645697e-06,3.5301546e-05,3.5456986e-05,2.0035855e-05,4.6887628e-05,9.7245385e-05,1.8809196e-05,3.7388199e-05,3.8764054e-05,4.1974243e-05
2,1544233224.896,1.1083376e-05,-5.9922304e-06,2.6613929e-05,-1.1980661e-05,-1.4652912e-05,-3.7553902e-05,-3.7106405e-05,NaN,1.1673004e-05,3.9214432e-05,4.0934752e-05,2.1816721e-05,5.4238495e-05,1.1178136e-04,2.1632140e-05,4.3497308e-05,4.3468175e-05,4.8315993e-05
2,1544233225.024,1.3037346e-05,-5.8799055e-06,3.0561063e-05,-1.1937540e-05,-1.6852977e-05,-4.1307267e-05,-4.0846953e-05,NaN,1.4397904e-05,4.3115746e-05,4.6376346e-05,2.3438335e-05,6.1554398e-05,1.2559602e-04,2.4402654e-05,4.9533213e-05,4.7895763e-05,5.4430355e-05
2,1544233225.152,1.5302099e-05,-5.3272220e-06,3.4837616e-05,-1.1320912e-05,-1.8965580e-05,-4.4394626e-05,-4.3830023e-05,NaN,1.7351585e-05,4.7004669e-05,5.1765204e-05,2.4877818e-05,6.8824178e-05,1.3860634e-04,2.7110509e-05,5.5476714e-05,5.2013915e-05,6.0281625e-05
2,1544233225.28,1.7891494e-05,-4.3086961e-06,3.9448914e-05,-1.0100570e-05,-2.0985553e-05,-4.6784829e-05,-4.6001434e-05,NaN,2.0534231e-05,5.0874907e-05,5.7088972e-05,2.6118292e-05,7.6030374e-05,1.5074061e-04,2.9748495e-05,6.1306673e-05,5.5785964e-05,6.5840963e-05
